Measurement,mean,median,max,min,range,q3,q1,IQR,std,mad
s_nadir_values,975.4703703703703,984.4,1001.6,894.3,107.30000000000007,993.0,968.75,24.25,27.727392937099577,10.299999999999955
s_prc_values,82.97037037037038,63.40000000000009,219.10000000000014,1.7999999999999545,217.30000000000018,135.95000000000005,34.55000000000001,101.40000000000003,64.53339514018374,40.20000000000016
s_rpc_min_values,0.232927729349778,0.22341415898758893,0.31940518815235436,0.20609247715865558,0.11331271099369877,0.23944587597778177,0.21471589459119444,0.02472998138658733,0.02908245913095651,0.010518350739990717
s_rpc_max_values,0.35543370608237496,0.3459201357201859,0.4419111648849512,0.3285984538912526,0.1133127109936986,0.3619518527103788,0.33722187132379144,0.02472998138658733,0.029082459130956504,0.010518350739990856
s_injection_to_nadir_duration_values,8.581851851851852,8.74,15.28,0.3,14.979999999999999,11.35,6.93,4.42,3.9994134541464925,2.3499999999999996
s_nadir_to_tailwater_duration_values,56.81185185185185,60.74,146.64,8.3,138.33999999999997,73.10499999999999,30.515,42.58999999999999,34.71950981542455,20.020000000000003
s_passage_duration_values,65.39370370370371,69.73,157.73,13.77,143.95999999999998,79.28999999999999,39.129999999999995,40.16,35.66443424996912,18.11
s_max_pressure_values,1193.1555555555556,1171.3,1562.7,1085.3,477.4000000000001,1228.85,1114.2,114.64999999999986,106.53762908126127,59.299999999999955
s_min_pressure_values,973.5851851851852,983.3,998.0,894.3,103.70000000000005,991.7,968.75,22.950000000000045,26.528673945573342,9.300000000000068
